PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
290,0,0,-1,-4.4,-8.24,0,0,0,0
291,0,0,-1,-4.79,-7.32,0,0,0,0
292,0,0,-1,-5.17,-6.39,0,0,0,0
293,0,0,-1,-5.53,-5.46,0,0,0,0
294,0,0,-1,-5.87,-4.52,0,0,0,0
295,0,0,-1,-6.01,-4.16,0,0,0,0
296,0,0,-1,-6.27,-3.2,0,0,0,0
297,0,0,-1,-6.53,-2.23,0,0,0,0
298,0,0,-1,-6.8,-1.27,0,0,0,0
299,0,0,-1,-7.06,-0.3,0,0,0,0
300,0,0,-1,-7.32,0.66,0,0,0,0
301,0,0,-1,-7.58,1.63,0,0,0,0
302,0,0,-1,-7.85,2.59,0,0,0,0
303,0,0,-1,-8.11,3.56,0,0,0,0
304,0,0,-1,-8.37,4.52,0,0,0,0
305,0,0,-1,-8.63,5.49,0,0,0,0
306,0,0,-1,-8.9,6.45,0,0,0,0
307,0,0,-1,-9.16,7.42,0,0,0,0
308,0,0,-1,-9.42,8.38,0,0,0,0
309,0,0,-1,-9.68,9.35,0,0,0,0
310,0,0,-1,-9.95,10.31,0,0,0,0
311,0,0,-1,-10.21,11.28,0,0,0,0
312,0,0,-1,-10.47,12.24,0,0,0,0
313,0,0,-1,-10.73,13.21,0,0,0,0
314,0,0,-1,-11,14.17,0,0,0,0
315,0,0,-1,-11.26,15.14,0,0,0,0
316,0,0,-1,-11.52,16.1,0,0,0,0
317,0,0,-1,-11.79,17.07,0,0,0,0
318,0,0,-1,-12.05,18.03,0,0,0,0
319,0,0,-1,-12.31,19,0,0,0,0
320,0,0,-1,-12.57,19.96,0,0,0,0
321,0,0,-1,-12.84,20.93,0,0,0,0
322,0,0,-1,-13.1,21.89,0,0,0,0
323,0,0,-1,-13.36,22.86,0,0,0,0
324,0,0,-1,-13.62,23.82,0,0,0,0
325,0,0,-1,-13.89,24.79,0,0,0,0
326,0,0,-1,-14.15,25.75,0,0,0,0
327,0,0,-1,-14.41,26.72,0,0,0,0
328,0,0,-1,-14.67,27.68,0,0,0,0
329,0,0,-1,-14.94,28.65,0,0,0,0
330,0,0,-1,-15.2,29.61,0,0,0,0
331,0,0,-1,-15.46,30.58,0,0,0,0
332,0,0,-1,-15.72,31.54,0,0,0,0
333,0,0,-1,-15.99,32.51,0,0,0,0
334,0,0,-1,-16.25,33.47,0,0,0,0
335,0,0,-1,-16.51,34.44,0,0,0,0
336,0,0,-1,-16.78,35.4,0,0,0,0
337,0,0,-1,-17.04,36.37,0,0,0,0
338,0,0,-1,-17.3,37.33,0,0,0,0
339,0,0,-1,-17.32,37.39,0,0,0,0
340,0,0,5.5,-16.02,-24.22,0,0,0,0
341,0,0,5.5,-16.11,-23.47,0,0,0,0
342,0,0,5.5,-16.22,-22.7,0,0,0,0
343,0,0,-1,29.87,-11.6,0,0,0,0
344,0,0,-1,31.55,-17.28,0,0,0,0
345,0,0,-1,33.4,-22.76,0,0,0,0
346,0,0,-1,-31.7,-19.58,0,0,0,0
347,0,0,-1,-29.45,-28.04,0,0,0,0
348,0,0,-1,29.29,-11.69,0,0,0,0
349,0,0,-1.02,53.96,-4.98,0,0,0,0
350,0,0,-1,28.88,-10.11,0,0,0,0
351,0,0,-1,53.66,-3.06,0,0,0,0
352,0,0,-1,30.34,-17.7,0,0,0,0
353,0,0,-1,55.89,-9.8,0,0,0,0
354,0,0,-1,30.28,-23.14,0,0,0,0
355,0,0,-1,57.18,-14.38,0,0,0,0
356,0,0,-4.56,-310.88,-92.14,0,0,0,0
357,0,0,-1,-29.41,-19.46,0,0,0,0
358,0,0,-1,-28.59,-18.88,0,0,0,0
359,0,0,-1,-27.79,-18.28,0,0,0,0
360,0,0,-1,-27.01,-17.66,0,0,0,0
361,0,0,-1,-26.24,-17.02,0,0,0,0
362,0,0,-1,-25.5,-16.35,0,0,0,0
363,0,0,-1,-24.77,-15.66,0,0,0,0
364,0,0,-1,-24.07,-14.95,0,0,0,0
365,0,0,-1,-23.39,-14.22,0,0,0,0
366,0,0,-1,-22.74,-13.46,0,0,0,0
367,0,0,-1,-22.11,-12.68,0,0,0,0
368,0,0,-1,-21.52,-11.88,0,0,0,0
369,0,0,-1,-20.95,-11.05,0,0,0,0
370,0,0,-1,-20.42,-10.21,0,0,0,0
371,0,0,-1,-19.92,-9.34,0,0,0,0
372,0,0,-1,-19.46,-8.45,0,0,0,0
373,0,0,-1,-19.03,-7.55,0,0,0,0
374,0,0,-1,-18.64,-6.63,0,0,0,0
375,0,0,-1,-18.29,-5.69,0,0,0,0
376,0,0,-1,-17.99,-4.74,0,0,0,0
377,0,0,-1,-17.72,-3.77,0,0,0,0
378,0,0,-1,-17.5,-2.8,0,0,0,0
379,0,0,-1,-17.32,-1.81,0,0,0,0
380,0,0,-1,-17.19,-0.82,0,0,0,0
381,0,0,-1,-17.09,0.17,0,0,0,0
382,0,0,-1,-17.05,1.17,0,0,0,0
383,0,0,-1,-17.04,2.17,0,0,0,0
384,0,0,-1,-17.08,3.17,0,0,0,0
385,0,0,-1,-17.17,4.17,0,0,0,0
386,0,0,-1,-17.29,5.16,0,0,0,0
387,0,0,-1,-17.46,6.15,0,0,0,0
388,0,0,-1,-17.66,7.12,0,0,0,0
389,0,0,-1,-17.68,7.18,0,0,0,0
390,0,0,-1,-26.46,38.52,0,0,0,0
391,0,0,-4.5,-317.86,-101.19,0,0,0,0
392,0,0,-1,-155.25,-58.75,0,0,0,0
393,0,0,-1,-29.79,-28.26,0,0,0,0
394,0,0,-4.5,-312.45,-109.08,0,0,0,0
395,0,0,-1,-152.7,-66.43,0,0,0,0
396,0,0,-1,-29.03,-37.24,0,0,0,0
397,0,0,-1,-28.56,-37.08,0,0,0,0
398,0,0,-1,-27.6,-36.78,0,0,0,0
