PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
373,0,0,0,-14.85,-12.37,0,0,0,0
374,0,0,0,-15.76,-12.78,0,0,0,0
375,0,0,0,-16.71,-13.08,0,0,0,0
376,0,0,0,-17.69,-13.3,0,0,0,0
377,0,0,0,-18.68,-13.43,0,0,0,0
378,0,0,0,-19.65,-13.21,0,0,0,0
379,0,0,0,-20.63,-12.96,0,0,0,0
380,0,0,0,-21.59,-12.7,0,0,0,0
381,0,0,0,-22.55,-12.41,0,0,0,0
382,0,0,0,-23.5,-12.12,0,0,0,0
383,0,0,0,-24.46,-11.81,0,0,0,0
384,0,0,0,-25.41,-11.5,0,0,0,0
385,0,0,0,-26.35,-11.18,0,0,0,0
386,0,0,0,-27.3,-10.84,0,0,0,0
387,0,0,0,-28.24,-10.51,0,0,0,0
388,0,0,0,-29.18,-10.17,0,0,0,0
389,0,0,0,-30.11,-9.81,0,0,0,0
390,0,0,0,-31.05,-9.46,0,0,0,0
391,0,0,0,-31.98,-9.09,0,0,0,0
392,0,0,0,-32.91,-8.72,0,0,0,0
393,0,0,0,-33.83,-8.34,0,0,0,0
394,0,0,0,-34.75,-7.94,0,0,0,0
395,0,0,0,-35.3,-7.7,0,0,0,0
396,0,0,2,-17.56,43.26,0,0,0,0
397,0,0,1.5,-17.53,43.17,0,0,0,0
398,0,0,0,-24.24,27.01,0,0,0,0
399,0,0,0,-31.57,30.07,0,0,0,0
400,0,0,0,-8.43,61.98,0,0,0,0
401,0,0,0,-8.02,62.89,0,0,0,0
402,0,0,0,-7.55,63.77,0,0,0,0
403,0,0,0,-6.97,64.58,0,0,0,0
404,0,0,0,-6.3,65.33,0,0,0,0
405,0,0,0,-5.52,65.96,0,0,0,0
406,0,0,0,-4.65,66.45,0,0,0,0
407,0,0,0,-3.72,66.79,0,0,0,0
408,0,0,0,-2.73,67,0,0,0,0
409,0,0,0,-1.74,67.04,0,0,0,0
410,0,0,0,-0.74,66.97,0,0,0,0
411,0,0,0,0.24,66.78,0,0,0,0
412,0,0,0,1.2,66.49,0,0,0,0
413,0,0,0,2.14,66.13,0,0,0,0
414,0,0,0,2.78,65.83,0,0,0,0
415,0,0,0,23.75,57.34,0,0,0,0
416,0,0,0,24.61,56.84,0,0,0,0
417,0,0,0,25.44,56.28,0,0,0,0
418,0,0,0,26.2,55.63,0,0,0,0
419,0,0,0,26.9,54.91,0,0,0,0
420,0,0,0,27.53,54.13,0,0,0,0
421,0,0,0,28.08,53.29,0,0,0,0
422,0,0,0,28.55,52.41,0,0,0,0
423,0,0,0,28.94,51.49,0,0,0,0
424,0,0,0,29.25,50.54,0,0,0,0
425,0,0,0,29.48,49.57,0,0,0,0
426,0,0,0,29.63,48.58,0,0,0,0
427,0,0,0,29.71,47.58,0,0,0,0
428,0,0,0,29.71,46.58,0,0,0,0
429,0,0,0,29.64,45.59,0,0,0,0
430,0,0,0,29.47,44.6,0,0,0,0
431,0,0,0,29.2,43.64,0,0,0,0
432,0,0,0,28.84,42.7,0,0,0,0
433,0,0,0,28.35,41.83,0,0,0,0
434,0,0,0,27.71,41.07,0,0,0,0
435,0,0,0,27.57,40.94,0,0,0,0
436,0,0,0,-16.11,-9.61,0,0,0,0
437,0,0,0,-16.87,-10.21,0,0,0,0
438,0,0,0,-17.26,-10.6,0,0,0,0
439,0,0,0,-18.19,-10.95,0,0,0,0
440,0,0,0,-19.19,-10.95,0,0,0,0
441,0,0,0,-20.18,-10.72,0,0,0,0
442,0,0,0,-21.11,-10.38,0,0,0,0
443,0,0,0,-21.64,-10.17,0,0,0,0
444,0,0,0,-32.87,-5.56,0,0,0,0
